feature,auc_drop_mean,auc_drop_sd
acf1_19,0.02962820512820513,0.05606352246646317
floor_ratio_25,0.0227136752136752,0.03255965466309517
cv_25,0.018382051282051275,0.03420496955729653
acf24_25,0.01130427350427349,0.03367495627777355
summer_winter_ratio_19,0.009758119658119646,0.034779316915300576
acf1_25,0.009362393162393146,0.018185268384811347
acf168_19,0.0066162393162393085,0.014367530898363151
diurnal_range_19,0.006590598290598284,0.01760957985845808
harm1_amp_25,0.006321367521367513,0.024771949605880868
d_resid_cv,0.005223931623931608,0.02812514932418498
g_night,0.005196581196581187,0.01980924369100747
g_avg,0.004323931623931612,0.023113281975552003
load_factor_25,0.004005128205128189,0.036389899703575895
d_acf168,0.0032504273504273488,0.014583963255645925
cv_19,0.003149572649572643,0.021476014766417303
floor_ratio_19,0.002364102564102557,0.024797452041980052
d_weekend_ratio,0.0022940170940170777,0.02231391346621774
peak_hour_shift,0.0022452991452991383,0.007648255661005102
d_profile_entropy,0.00213162393162392,0.010834821390146023
d_harm1_amp,0.0019418803418803376,0.012360510785131193
weekend_ratio_25,0.0014658119658119576,0.01847661449675679
d_cv,0.0010059829059828954,0.013288283915805806
seasonal_amp_25,0.0008487179487179453,0.01208485892004074
d_acf24,0.0007282051282051159,0.018532898472263488
seasonal_amp_19,0.0006136752136752104,0.01984092840459672
d_seasonal_amp,0.0004982905982905943,0.008753255078223415
resid_cv_25,0.00033675213675213024,0.012133090134588083
night_day_ratio_25,0.0001547008547008457,0.008448050206006509
peak_hour_sin_19,0.0,0.0
acf168_25,-0.0001991452991453002,0.009966131493942692
harm2_amp_19,-0.0002914529914530033,0.024409423552956628
d_summer_winter_ratio,-0.00045470085470086287,0.03303177635820621
diurnal_range_25,-0.0007743589743589841,0.028876971883554828
weekend_ratio_19,-0.0008948717948718134,0.030108526035902933
d_diurnal_range,-0.0009076923076923129,0.014560211799417013
resid_cv_19,-0.0009393162393162462,0.008531309553281432
peak_hour_sin_25,-0.0009615384615384613,0.0032285980366887953
harm1_amp_19,-0.0010196581196581253,0.006210842409056891
summer_winter_ratio_25,-0.0012230769230769268,0.022988189763492085
peak_hour_cos_25,-0.001245299145299152,0.010332303145727346
profile_entropy_25,-0.0013692307692307808,0.023957393839185066
profile_entropy_19,-0.0015555555555555598,0.011931747684143863
d_floor_ratio,-0.001589743589743597,0.017208386237226012
d_load_factor,-0.0017811965811965833,0.010820358490968457
d_harm2_amp,-0.001874358974358981,0.02253371166829153
d_acf1,-0.0022358974358974402,0.010676019026036637
d_night_day_ratio,-0.002293162393162399,0.013589568210973886
load_factor_19,-0.0023803418803418843,0.008371127616926342
peak_hour_cos_19,-0.002424786324786328,0.007236592627588371
acf24_19,-0.002578632478632486,0.008752169912560432
harm2_amp_25,-0.0026076923076923126,0.015777071996090592
night_day_ratio_19,-0.0028076923076923127,0.01322690614078991
