feature,auc_drop_mean,auc_drop_sd
d_resid_cv,0.03331965811965811,0.04582772957176905
g_avg,0.03322136752136752,0.045972077145998595
summer_winter_ratio_19,0.03237264957264957,0.06038526711306174
summer_winter_ratio_25,0.02943846153846153,0.059754987718455804
g_night,0.02885641025641025,0.041813400876852244
resid_cv_25,0.02727179487179486,0.04312455954322364
d_diurnal_range,0.027125641025641016,0.04513120720313428
profile_entropy_19,0.022107692307692304,0.05237803301096778
d_harm2_amp,0.01858803418803418,0.037811355826280875
cv_25,0.011652991452991441,0.027733231921923014
floor_ratio_19,0.011105128205128193,0.03702828338197226
peak_hour_sin_25,0.010277777777777771,0.031621155614524867
profile_entropy_25,0.009957264957264947,0.028796272237562637
peak_hour_shift,0.009419658119658112,0.03795887550671759
diurnal_range_25,0.009373504273504278,0.023551496125860473
d_acf24,0.006890598290598284,0.024823686919152925
d_seasonal_amp,0.006680341880341879,0.02233675430103183
d_acf168,0.005878632478632474,0.028778356210448438
acf168_19,0.005674358974358968,0.025757089078388074
d_profile_entropy,0.005541880341880332,0.0457999814683122
acf1_25,0.005329059829059821,0.02461943337586634
floor_ratio_25,0.004071794871794861,0.021570404410239066
d_cv,0.0037239316239316153,0.01821573214916591
d_harm1_amp,0.0036957264957264944,0.026669578990352424
peak_hour_cos_25,0.003599145299145289,0.041978860808934405
d_acf1,0.0028162393162392972,0.029582573051161735
acf24_25,0.002677777777777774,0.02337046945982588
weekend_ratio_25,0.001835042735042728,0.0314710478908853
peak_hour_cos_19,0.0017341880341880218,0.032185520887008635
seasonal_amp_25,0.0015376068376068326,0.02002705670523994
seasonal_amp_19,0.0014700854700854605,0.025093155415095113
resid_cv_19,0.0011623931623931493,0.01904304496964512
night_day_ratio_25,0.0006504273504273424,0.01614626122090105
night_day_ratio_19,0.000575213675213674,0.019656278707905223
acf24_19,0.0005572649572649491,0.017662161444095374
weekend_ratio_19,0.00030683760683759533,0.03468045545026924
acf1_19,-0.00024188034188035124,0.02197291664544948
cv_19,-0.00046666666666666634,0.02348522121260215
harm2_amp_25,-0.0006222222222222295,0.01630726057273101
d_weekend_ratio,-0.0007273504273504358,0.013218225850788762
diurnal_range_19,-0.0010068376068376116,0.012569725173648193
harm1_amp_19,-0.001168376068376075,0.01876478380238962
d_night_day_ratio,-0.0013264957264957345,0.01945178992357118
peak_hour_sin_19,-0.0015547008547008654,0.0247436919931582
harm1_amp_25,-0.001569230769230777,0.013844415328273242
load_factor_19,-0.0018786324786324849,0.02845866313136142
load_factor_25,-0.001948717948717956,0.019326652578008953
acf168_25,-0.0019974358974358952,0.01624493109676291
harm2_amp_19,-0.0022760683760683787,0.025321962821655494
d_summer_winter_ratio,-0.004653846153846161,0.03315119445545346
d_floor_ratio,-0.010697435897435902,0.02970571286956503
d_load_factor,-0.012010256410256416,0.040455442775535526
