feature,auc_drop_mean,auc_drop_sd
summer_winter_ratio_25,0.04386581196581196,0.07386573368052828
acf1_25,0.032272649572649574,0.04325759763322977
harm1_amp_25,0.028225641025641016,0.0437818569682242
diurnal_range_25,0.028187179487179487,0.057526993368932994
floor_ratio_25,0.02128290598290598,0.043362320836711564
load_factor_25,0.017463247863247867,0.055709873730794814
acf24_25,0.01584615384615384,0.048055057824165893
cv_25,0.014795726495726502,0.03564384058808278
profile_entropy_25,0.00368974358974359,0.027712559134807753
harm2_amp_25,0.002406837606837609,0.02613592836061662
night_day_ratio_25,0.002061538461538463,0.023615625680376916
weekend_ratio_25,-0.00026068376068375665,0.03187650403311218
resid_cv_25,-0.0007444444444444475,0.024859064832357204
peak_hour_sin_25,-0.0010341880341880345,0.004979626598729167
peak_hour_cos_25,-0.0013863247863247902,0.010022095481134967
acf168_25,-0.0015743589743589706,0.022502777695148843
seasonal_amp_25,-0.005353846153846151,0.02742178464965862
