feature,auc_drop_mean,auc_drop_sd
summer_winter_ratio_25,0.06945470085470083,0.09014815143401629
resid_cv_25,0.060983760683760664,0.06944778342191643
diurnal_range_25,0.050609401709401695,0.07897363652768652
profile_entropy_25,0.04362307692307692,0.07952628289197645
floor_ratio_25,0.03207264957264956,0.059567656830791495
cv_25,0.0247076923076923,0.05359741215315388
load_factor_25,0.012140170940170924,0.041204359245645625
peak_hour_cos_25,0.008066666666666656,0.0515105612075069
acf1_25,0.0069675213675213605,0.032974688853596786
acf24_25,0.0035102564102564046,0.03754997547139365
harm2_amp_25,0.0031965811965811858,0.029481307529004564
night_day_ratio_25,0.0022794871794871766,0.022108042392953504
harm1_amp_25,0.0020051282051281884,0.039592768372154266
weekend_ratio_25,0.001335897435897427,0.04935873683748261
peak_hour_sin_25,0.0012358974358974294,0.034993704297161955
acf168_25,0.0009299145299145124,0.03378382105846098
seasonal_amp_25,-0.0007282051282051394,0.04084856470426172
