region,y,model_prob,detector_rank,avg_mw_2025,model_rank,rank_gap
ERCO/COAS,0,0.9664234351621672,56,14510.95546832761,1,55
SWPP/SECI,0,0.9434828300019144,80,725.1927459957471,2,78
ERCO,1,0.9423099526267776,8,55711.73475653907,3,5
MISO/0035,0,0.9420432741902797,35,10569.772665375012,4,31
PJM/DOM,1,0.9385253585157785,6,15395.189562814665,5,1
PJM/AEP,1,0.9256671064000948,19,16101.401211830702,6,13
CISO,1,0.9147458296071344,21,25575.72169493625,7,14
SWPP/WAUE,0,0.902638595239285,25,4053.292276877124,8,17
SWPP/OPPD,1,0.9012610049750347,7,1892.425886815528,9,-2
ERCO/NRTH,0,0.8987623842412381,1,1942.4001989114788,10,-9
MISO,1,0.8987151655832392,89,75765.20669910657,11,78
WACM,1,0.8800291406883665,5,3924.841712775125,12,-7
PNM,1,0.8773382087256041,46,1668.760044466987,13,33
SWPP,1,0.8687100324564184,39,34111.56118478653,14,25
ERCO/SCEN,1,0.8594797173443481,16,9093.02072577477,15,1
GCPD,1,0.8238700188567473,27,769.4272607738475,16,11
IPCO,0,0.8202479539861928,58,2160.604131365193,17,41
PSCO,0,0.8115708577823233,94,5174.06886160694,18,76
CISO/PGAE,1,0.8063179637979877,12,11033.720382074876,19,-7
SWPP/SPS,1,0.7820068148369018,23,4309.780044522089,20,3
MISO/0001,1,0.7725355854349762,59,11013.41368966278,21,38
PGE,1,0.7695799077273063,15,2682.4719178073865,22,-7
NYIS/ZONA,1,0.767722384501317,29,1730.0348734666372,23,6
WALC,0,0.7601849657436424,107,1029.599992381121,24,83
TEPC,0,0.7460125543677496,4,1652.565244441094,25,-21
PJM/ATSI,1,0.7345035917270579,65,7802.516840986302,26,39
MISO/8910,1,0.7303758202400147,48,20423.70142125432,27,21
NYIS/ZOND,0,0.704847442370883,18,601.5574461327234,28,-10
SWPP/OKGE,1,0.6990387784969053,22,4622.449818519644,29,-7
PACE,1,0.6975691095243437,85,6119.261187214967,30,55
AZPS,1,0.668534530884138,3,4432.364511290653,31,-28
PJM/PN,1,0.6630889537860817,51,1944.679301895912,32,19
NWMT,0,0.6388185489243169,108,1345.2205230018626,33,75
PJM,1,0.6151006571116476,52,96250.74568874772,34,18
SWPP/GRDA,1,0.6085584614038332,30,955.3488162509732,35,-5
NYIS/ZONJ,1,0.6042894307797603,82,5718.728571846957,36,46
SRP,1,0.6024839500058262,13,4157.578412331343,37,-24
