region,icao,station_id,station_name,state,lat,lon,elev_m,isd_begin,isd_end
AECI,KSGF,72440013995,SPRINGFIELD-BRANSON REGIONAL AIRPORT,MO,37.24,-93.39,384.7,19730101,20250825
AECI,KCOU,72445003945,COLUMBIA REGIONAL AIRPORT,MO,38.817,-92.215,272.2,19730101,20250825
AVA,KGEG,72785024157,SPOKANE INTERNATIONAL AIRPORT,WA,47.622,-117.528,717.7,19410811,20250827
AZPS,KPHX,72278023183,PHOENIX SKY HARBOR INTL AIRPORT,AZ,33.428,-112.004,339.2,19730101,20250826
AZPS,KFLG,72375003103,FLAGSTAFF PULLIAM AIRPORT,AZ,35.144,-111.666,2133.3,20050101,20250827
BANC,KSMF,72483993225,SACRAMENTO INTL AIRPORT,CA,38.701,-121.595,7.5,19730101,20250825
BPAT,KPDX,72698024229,PORTLAND INTERNATIONAL AIRPORT,OR,45.596,-122.609,6.7,19360501,20250827
BPAT,KGEG,72785024157,SPOKANE INTERNATIONAL AIRPORT,WA,47.622,-117.528,717.7,19410811,20250827
CISO,KLAX,72295023174,LOS ANGELES INTERNATIONAL AIRPORT,CA,33.938,-118.387,29.7,19440101,20250827
CISO,KSFO,72494023234,SAN FRANCISCO INTERNATIONAL AIRPORT,CA,37.62,-122.366,3.2,19730101,20250827
CISO,KFAT,72389093193,FRESNO YOSEMITE INTERNATIONAL AIRPORT,CA,36.78,-119.72,101.9,19411204,20250827
CPLE,KRDU,72306013722,RALEIGH-DURHAM INTERNATIONAL AP,NC,35.892,-78.782,120.5,19451101,20250827
CPLE,KILM,72302013748,WILMINGTON INTERNATIONAL AIRPORT,NC,34.267,-77.9,7.0,20050101,20250827
CPLW,KAVL,72315003812,ASHEVILLE REGIONAL AIRPORT,NC,35.432,-82.538,645.6,19730101,20250827
DUK,KCLT,72314013881,CHARLOTTE/DOUGLAS INTERNATIONAL AP,NC,35.223,-80.954,222.6,19410722,20250827
DUK,KGSP,72312003870,GREENVILLE-SPARTANBURG INTL AIRPORT,SC,34.906,-82.213,294.4,19730101,20250827
EPE,KELP,72270023044,EL PASO INTERNATIONAL AIRPORT,TX,31.812,-106.377,1202.1,19410401,20250827
ERCO,KDFW,72259003927,DALLAS/FT WORTH INTERNATIONAL AP,TX,32.897,-97.022,165.7,19730101,20250827
ERCO,KIAH,72243012960,G BUSH INTERCONTINENTAL AP/HOUSTON AP,TX,29.984,-95.361,27.5,19730101,20250827
ERCO,KAUS,72254013904,AUSTIN-BERGSTROM INTL AIRPORT,TX,30.183,-97.68,146.3,19990524,20250827
FMPP,KMCO,72205012815,ORLANDO INTERNATIONAL AIRPORT,FL,28.418,-81.324,27.1,19520507,20250825
FPC,KTPA,72211012842,TAMPA INTERNATIONAL AIRPORT,FL,27.963,-82.54,1.8,19400801,20250827
FPC,KGNV,74756012816,GAINESVILLE REGIONAL AIRPORT,FL,29.692,-82.276,40.7,20050101,20250827
FPL,KMIA,72202012839,MIAMI INTERNATIONAL AIRPORT,FL,25.788,-80.317,1.4,19730101,20250827
FPL,KPBI,72203012844,PALM BEACH INTERNATIONAL AIRPORT,FL,26.685,-80.099,3.5,19430206,20250827
GCPD,KMWH,72782724110,GRANT COUNTY INTL AIRPORT,WA,47.193,-119.315,356.3,19430610,20250827
IPCO,KBOI,72681024131,BOISE AIR TERMINAL/GOWEN FD AIRPORT,ID,43.567,-116.241,860.5,19310101,20250827
ISNE,KBOS,72509014739,GEN E L LOGAN INTERNATIONAL AIRPORT,MA,42.361,-71.01,3.3,19431121,20250827
ISNE,KBDL,72508014740,BRADLEY INTERNATIONAL AIRPORT,CT,41.937,-72.682,51.6,19410912,20250826
JEA,KJAX,72206013889,JACKSONVILLE INTERNATIONAL AIRPORT,FL,30.495,-81.694,7.2,19480101,20250827
LDWP,KBUR,72288023152,BURBANK-GLENDALE-PASA ARPT,CA,34.2,-118.365,222.7,19430601,20250827
LDWP,KLAX,72295023174,LOS ANGELES INTERNATIONAL AIRPORT,CA,33.938,-118.387,29.7,19440101,20250827
LGEE,KSDF,72423093821,LOUISVILLE INTL-STANDIFORD FIELD AP,KY,38.177,-85.731,146.3,19730101,20250827
LGEE,KLEX,72422093820,BLUE GRASS AIRPORT,KY,38.034,-84.611,293.2,19730101,20250825
MISO,KMSP,72658014922,MINNEAPOLIS-ST PAUL INTERNATIONAL AP,MN,44.885,-93.231,254.5,19450101,20250825
MISO,KIND,72438093819,INDIANAPOLIS INTERNATIONAL AIRPORT,IN,39.725,-86.282,241.3,19421006,20250827
MISO,KSTL,72434013994,LAMBERT-ST LOUIS INTERNATIONAL AP,MO,38.752,-90.373,162.0,19730101,20250827
MISO,KJAN,72235003940,JACKSON INTERNATIONAL AIRPORT,MS,32.32,-90.078,90.2,19420901,20250827
NEVP,KLAS,72386023169,MCCARRAN INTERNATIONAL AIRPORT,NV,36.072,-115.163,662.8,19730101,20250827
NWMT,KBIL,72677024033,BILLINGS LOGAN INTERNATIONAL AIRPORT,MT,45.807,-108.546,1094.3,19350501,20250827
NWMT,KHLN,72772024144,HELENA REGIONAL AIRPORT,MT,46.604,-111.989,1178.1,19730101,20250827
NYIS,KLGA,72503014732,LA GUARDIA AIRPORT,NY,40.779,-73.88,3.0,19730101,20250827
NYIS,KALB,72518014735,ALBANY INTERNATIONAL AIRPORT,NY,42.747,-73.799,85.4,19460101,20250827
NYIS,KBUF,72528014733,BUFFALO NIAGARA INTERNATIONAL AIRPOR,NY,42.94,-78.736,216.2,19420201,20250827
PACE,KSLC,72572024127,SALT LAKE CITY INTERNATIONAL AIRPORT,UT,40.771,-111.965,1288.4,19411101,20250825
PACE,KCPR,72569024089,NATRONA COUNTY INTERNATIONAL AP,WY,42.898,-106.474,1621.1,19400101,20250827
PACW,KPDX,72698024229,PORTLAND INTERNATIONAL AIRPORT,OR,45.596,-122.609,6.7,19360501,20250827
PACW,KMFR,72597024225,ROGUE VALLEY INTL-MEDFORD AIRPORT,OR,42.375,-122.877,400.3,19730101,20250827
PGE,KPDX,72698024229,PORTLAND INTERNATIONAL AIRPORT,OR,45.596,-122.609,6.7,19360501,20250827
PJM,KORD,72530094846,CHICAGO O'HARE INTERNATIONAL AIRPORT,IL,41.96,-87.932,204.8,19461001,20250825
PJM,KPIT,72520094823,PITTSBURGH INTERNATIONAL AIRPORT,PA,40.485,-80.214,341.0,19450201,20250827
PJM,KIAD,72403093738,WASHINGTON DULLES INTERNATIONAL AP,VA,38.935,-77.447,89.5,19730101,20250827
PJM,KPHL,72408013739,PHILADELPHIA INTERNATIONAL AIRPORT,PA,39.873,-75.227,2.2,19730101,20250827
PNM,KABQ,72365023050,ALBUQUERQUE INTL SUNPORT AIRPORT,NM,35.042,-106.615,1618.4,19410701,20250827
PSCO,KDEN,72565003017,DENVER INTERNATIONAL AIRPORT,CO,39.847,-104.656,1647.2,19940718,20250827
